rank,archetype_id,archetype_label,appearances,usage_share,all_win_rate,nonmirror_appearances,nonmirror_win_rate,nonmirror_ci_low,nonmirror_ci_high,unique_teams,exact_deck_variants,avg_game_min_score
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,273,0.2941810344827586,0.4468864468864469,217,0.43317972350230416,0.3689777140549433,0.49970644690023913,14,5,1111.7674244578754
2,A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,189,0.2036637931034483,0.43915343915343913,143,0.4195804195804196,0.34183688468115886,0.5015317519994549,12,3,1116.6172388095238
3,A03,Fezandipiti ex / Alakazam / Kadabra,133,0.14331896551724138,0.5263157894736842,107,0.5327102803738317,0.43868515616637266,0.6244680281976205,10,3,1100.2185987819548
4,A04,Mega Lucario ex / Hariyama / Solrock,91,0.0980603448275862,0.5384615384615384,87,0.5402298850574713,0.4360264044396558,0.6410308028310219,5,1,1152.139225043956
5,A05,Teal Mask Ogerpon ex / Mega Kangaskhan ex / Raging Bolt ex,52,0.05603448275862069,0.4423076923076923,52,0.4423076923076923,0.31594847188588093,0.5766047500848361,1,1,1112.1065167115385
6,A06,Dragapult ex / Meowth ex / Fezandipiti ex,47,0.05064655172413793,0.48936170212765956,47,0.48936170212765956,0.3527532433660351,0.6275778241062712,4,3,1109.0513957659573
7,A07,N’s Zoroark ex / N’s Zorua / N’s Reshiram,35,0.03771551724137931,0.7142857142857143,35,0.7142857142857143,0.5494475193017891,0.8367363660170444,1,1,1120.709276485714
8,A08,Thwackey / Dipplin / Seaking,30,0.032327586206896554,0.6333333333333333,30,0.6333333333333333,0.45513246433604937,0.7812629779598231,2,2,1102.4615612666669
9,A09,Mega Kangaskhan ex / Latias ex / Meowth ex,26,0.028017241379310345,0.8076923076923077,26,0.8076923076923077,0.6212336384535001,0.9149306422821174,2,1,1184.7138383461538
10,A10,Hydrapple ex / Teal Mask Ogerpon ex / Meowth ex,25,0.02693965517241379,0.56,25,0.56,0.37067017019564436,0.7333462505299744,2,2,1110.0404215199999
11,A11,Cornerstone Mask Ogerpon ex / Mega Kangaskhan ex / Crustle,21,0.022629310344827586,0.5238095238095238,21,0.5238095238095238,0.32369217900266756,0.7165628770323705,5,5,1092.1157372380953
12,A12,Teal Mask Ogerpon ex,4,0.004310344827586207,0.5,4,0.5,0.15003570882017148,0.8499642911798285,1,1,1080.55112675
13,A13,Blaziken ex / Dragapult ex / Lillie’s Clefairy ex,2,0.0021551724137931034,1.0,2,1.0,0.34237195288961925,1.0,1,1,1087.1529150000001
