card_id,card_name_en,card_name_jp,card_group,card_subtype,elite_inclusion_count,elite_inclusion_rate,avg_copies_per_elite_deck,avg_copies_when_included,field_inclusion_rate,elite_vs_field_lift
1182,Boss’s Orders,ボスの指令,Trainer,Supporter,902,0.9719827586206896,2.211206896551724,2.2749445676274944,0.9820966350301984,0.9906901852686263
1152,Poké Pad,ポケパッド,Trainer,Item,851,0.9170258620689655,3.5323275862068964,3.8519388954171565,0.8576358930112166,1.0703703221946175
1227,Lillie's Determination,リーリエの決心,Trainer,Supporter,743,0.8006465517241379,3.2025862068965516,4.0,0.8075927523727351,0.9926006418609363
1086,Buddy-Buddy Poffin,なかよしポフィン,Trainer,Item,730,0.7866379310344828,3.1282327586206895,3.9767123287671233,0.8542924935289042,0.9219513097528489
1097,Night Stretcher,夜のタンカ,Trainer,Item,561,0.6045258620689655,1.2780172413793103,2.1140819964349378,0.676876617773943,0.8945603269736807
1121,Ultra Ball,ハイパーボール,Trainer,Item,559,0.6023706896551724,2.3394396551724137,3.883720930232558,0.3605478861087144,1.6731974921630093
1225,Hilda,トウコ,Trainer,Supporter,454,0.4892241379310345,1.5808189655172413,3.2312775330396475,0.4479076790336497,1.0943855527700763
1122,Pokégear 3.0,ポケギア3.0,Trainer,Item,446,0.48060344827586204,0.8803879310344828,1.8318385650224216,0.582830025884383,0.8262990845003031
860,Snorunt,ユキワラシ,Pokémon,Basic Pokémon,426,0.45905172413793105,0.9181034482758621,2.0,0.42849439171699744,1.0735578675181785
66,Dudunsparce,ノココッチ,Pokémon,Stage 1 Pokémon,410,0.4418103448275862,1.1907327586206897,2.6951219512195124,0.33757549611734256,1.3115480346699853
305,Dunsparce,ノコッチ,Pokémon,Basic Pokémon,406,0.4375,1.6066810344827587,3.6724137931034484,0.3320750647109577,1.3202894088669952
13,Enriching Energy,リッチエネルギー,Energy,Special Energy,406,0.4375,0.4375,1.0,0.32786885245901637,1.3372217623513138
1229,Wally's Compassion,ミツルの思いやり,Trainer,Supporter,364,0.3922413793103448,1.3728448275862069,3.5,0.1952113891285591,2.013723604790647
1231,Dawn,ヒカリ,Trainer,Supporter,345,0.37176724137931033,0.8017241379310345,2.1565217391304348,0.5857420189818809,0.6364170179269717
1080,Unfair Stamp,アンフェアスタンプ,Trainer,Item,327,0.35237068965517243,0.35237068965517243,1.0,0.46128127696289906,0.7660524576421467
1079,Rare Candy,ふしぎなアメ,Trainer,Item,324,0.34913793103448276,1.0862068965517242,3.111111111111111,0.5033433994823123,0.6956294506988152
1264,Battle Cage,バトルコロシアム,Trainer,Stadium,310,0.33405172413793105,0.9924568965517241,2.970967741935484,0.20524158757549613,1.6319952549985512
1174,Air Balloon,ふうせん,Trainer,Pokémon Tool,302,0.3254310344827586,0.9601293103448276,2.9503311258278146,0.16231665228645384,2.0102177496908915
11,Mist Energy,ミストエネルギー,Energy,Special Energy,294,0.3168103448275862,1.2672413793103448,4.0,0.2359792924935289,1.3464855626092846
3,Basic {W} Energy,基本【水】エネルギー,Energy,Basic Energy,289,0.3114224137931034,0.822198275862069,2.640138408304498,0.12532355478861087,2.4914015477214098
140,Fezandipiti ex,キチキギスex,Pokémon,Basic Pokémon,286,0.3081896551724138,0.3081896551724138,1.0,0.3111518550474547,0.9935987048056015
7,Basic {D} Energy,基本【悪】エネルギー,Energy,Basic Energy,273,0.2941810344827586,2.4859913793103448,8.45054945054945,0.4003451251078516,0.737311589290192
112,Munkidori,マシマシラ,Pokémon,Basic Pokémon,273,0.2941810344827586,0.9956896551724138,3.3846153846153846,0.399374460742019,0.7391031131302599
848,Buneary,ミミロル,Pokémon,Basic Pokémon,273,0.2941810344827586,0.6422413793103449,2.183150183150183,0.15724762726488353,1.8763796648625652
849,Mega Lopunny ex,メガミミロップex,Pokémon,Stage 1 Pokémon,273,0.2941810344827586,0.6271551724137931,2.131868131868132,0.15821829163071613,1.86487597481913
174,Fan Rotom,スピンロトム,Pokémon,Basic Pokémon,273,0.2941810344827586,0.2941810344827586,1.0,0.14851164797239,1.986674841099044
1087,Hand Trimmer,ハンドトリマー,Trainer,Item,265,0.2855603448275862,0.8146551724137931,2.852830188679245,0.13923641069887835,2.057048681541582
1197,Xerosic’s Machinations,クセロシキのたくらみ,Trainer,Supporter,263,0.2834051724137931,0.6379310344827587,2.2509505703422055,0.32916307161345987,0.8639777720049245
5,Basic {P} Energy,基本【超】エネルギー,Energy,Basic Energy,260,0.2801724137931034,0.7198275862068966,2.5692307692307694,0.26887402933563415,1.0456094627105053
861,Mega Froslass ex,メガユキメノコex,Pokémon,Stage 1 Pokémon,237,0.25538793103448276,0.5107758620689655,2.0,0.10946937014667817,2.3405002715177847
1219,Team Rocket's Petrel,ロケット団のラムダ,Trainer,Supporter,197,0.2122844827586207,0.8491379310344828,4.0,0.3554788610871441,0.6000282388378149
646,Marnie's Impidimp,マリィのベロバー,Pokémon,Basic Pokémon,189,0.2036637931034483,0.8146551724137931,4.0,0.31902502157031926,0.6415552784608034
1259,Spikemuth Gym,スパイクタウンジム,Trainer,Stadium,189,0.2036637931034483,0.8146551724137931,4.0,0.31902502157031926,0.6415552784608034
647,Marnie's Morgrem,マリィのギモー,Pokémon,Stage 1 Pokémon,189,0.2036637931034483,0.6109913793103449,3.0,0.31902502157031926,0.6415552784608034
648,Marnie's Grimmsnarl ex,マリィのオーロンゲex,Pokémon,Stage 2 Pokémon,189,0.2036637931034483,0.6109913793103449,3.0,0.31902502157031926,0.6415552784608034
104,Froslass,ユキメノコ,Pokémon,Stage 1 Pokémon,189,0.2036637931034483,0.4073275862068966,2.0,0.31902502157031926,0.6415552784608034
1184,Lana’s Aid,スイレンのお世話,Trainer,Supporter,188,0.2025862068965517,0.2036637931034483,1.0053191489361701,0.22670405522001727,0.8979413645531014
19,Telepath Psychic Energy,テレパス【超】エネルギー,Energy,Special Energy,173,0.18642241379310345,0.7306034482758621,3.9190751445086707,0.1878774805867127,0.9974182444061961
1071,Meowth ex,ニャースex,Pokémon,Basic Pokémon,152,0.16379310344827586,0.30280172413793105,1.8486842105263157,0.11734253666954271,1.4037475064120832
1213,Judge,ジャッジマン,Trainer,Supporter,145,0.15625,0.46551724137931033,2.9793103448275864,0.17191544434857636,0.9145713976867365
6,Basic {F} Energy,基本【闘】エネルギー,Energy,Basic Energy,143,0.1540948275862069,1.386853448275862,9.0,0.0661130284728214,2.3432550825564418
343,Shaymin,シェイミ,Pokémon,Basic Pokémon,138,0.14870689655172414,0.14870689655172414,1.0,0.18140638481449525,0.8251941319892638
1123,Switch,ポケモンいれかえ,Trainer,Item,137,0.1476293103448276,0.28448275862068967,1.927007299270073,0.12381363244176014,1.2000090033312327
1129,Sacred Ash,せいなるはい,Trainer,Item,134,0.14439655172413793,0.14439655172413793,1.0,0.19693701466781707,0.7382792593850858
741,Abra,ケーシィ,Pokémon,Basic Pokémon,133,0.14331896551724138,0.5732758620689655,4.0,0.1766609145815358,0.8168668868738297
742,Kadabra,ユンゲラー,Pokémon,Stage 1 Pokémon,133,0.14331896551724138,0.5732758620689655,4.0,0.1766609145815358,0.8168668868738297
1081,Enhanced Hammer,改造ハンマー,Trainer,Item,133,0.14331896551724138,0.5732758620689655,4.0,0.1766609145815358,0.8168668868738297
743,Alakazam,フーディン,Pokémon,Stage 2 Pokémon,133,0.14331896551724138,0.5711206896551724,3.9849624060150375,0.1766609145815358,0.8168668868738297
1,Basic {G} Energy,基本【草】エネルギー,Energy,Basic Energy,124,0.1336206896551724,1.238146551724138,9.266129032258064,0.20232959447799828,0.6653822129957928
1159,Hero’s Cape,ヒーローマント,Trainer,Pokémon Tool,116,0.125,0.125,1.0,0.17536669542709232,0.7184950087955407
1137,Tool Scrapper,ツールスクラッパー,Trainer,Item,105,0.11314655172413793,0.11314655172413793,1.0,0.3160051768766178,0.3613395451711196
1198,Crispin,アカマツ,Trainer,Supporter,101,0.10883620689655173,0.38038793103448276,3.495049504950495,0.08315358067299396,1.3201045202787207
756,Mega Kangaskhan ex,メガガルーラex,Pokémon,Basic Pokémon,99,0.10668103448275862,0.32435344827586204,3.04040404040404,0.11011647972389992,0.9776300695053647
1266,Nighttime Mine,夜の鉱山,Trainer,Stadium,95,0.10237068965517242,0.20474137931034483,2.0,0.15239430543572044,0.6783397551577818
184,Latias ex,ラティアスex,Pokémon,Basic Pokémon,92,0.09913793103448276,0.18318965517241378,1.8478260869565217,0.024158757549611734,4.129770114942529
678,Mega Lucario ex,メガルカリオex,Pokémon,Stage 1 Pokémon,91,0.0980603448275862,0.3922413793103448,4.0,0.04216997411561691,2.3449155524278673
1141,Premium Power Pro,パワープロテイン,Trainer,Item,91,0.0980603448275862,0.3922413793103448,4.0,0.04292493528904228,2.3037766830870274
1142,Fighting Gong,ファイトゴング,Trainer,Item,91,0.0980603448275862,0.3922413793103448,4.0,0.052739430543572045,1.8759324419422938
676,Solrock,ソルロック,Pokémon,Basic Pokémon,91,0.0980603448275862,0.2941810344827586,3.0,0.044219154443485766,2.2365131302961654
677,Riolu,リオル,Pokémon,Basic Pokémon,91,0.0980603448275862,0.2941810344827586,3.0,0.04216997411561691,2.3449155524278673
673,Makuhita,マクノシタ,Pokémon,Basic Pokémon,91,0.0980603448275862,0.1961206896551724,2.0,0.037532355478861086,2.633830649145341
674,Hariyama,ハリテヤマ,Pokémon,Stage 1 Pokémon,91,0.0980603448275862,0.1961206896551724,2.0,0.037532355478861086,2.633830649145341
675,Lunatone,ルナトーン,Pokémon,Basic Pokémon,91,0.0980603448275862,0.1961206896551724,2.0,0.044219154443485766,2.2365131302961654
1161,Handheld Fan,ハンディサーキュレーター,Trainer,Pokémon Tool,88,0.09482758620689655,0.1896551724137931,2.0,0.039150129421915446,2.442947139067828
1205,Cyrano,シアノ,Trainer,Supporter,87,0.09375,0.2252155172413793,2.4022988505747125,0.02200172562553926,4.288982338099243
1188,Ciphermaniac’s Codebreaking,暗号マニアの解読,Trainer,Supporter,86,0.09267241379310345,0.17672413793103448,1.9069767441860466,0.037424503882657466,2.4978448275862064
235,Budew,スボミー,Pokémon,Basic Pokémon,85,0.09159482758620689,0.13793103448275862,1.5058823529411764,0.09339948231233822,0.9910710734598099
96,Teal Mask Ogerpon ex,オーガポン みどりのめんex,Pokémon,Basic Pokémon,81,0.08728448275862069,0.29310344827586204,3.3580246913580245,0.09620362381363244,0.9174614820249449
1088,Prime Catcher,プライムキャッチャー,Trainer,Item,78,0.08405172413793104,0.08405172413793104,1.0,0.016609145815358068,5.092380422691879
272,Lillie’s Clefairy ex,リーリエのピッピex,Pokémon,Basic Pokémon,68,0.07327586206896551,0.08836206896551724,1.2058823529411764,0.022756686798964625,3.251911190631099
1120,Crushing Hammer,クラッシュハンマー,Trainer,Item,62,0.0668103448275862,0.2672413793103448,4.0,0.13157894736842105,0.5155257138015757
4,Basic {L} Energy,基本【雷】エネルギー,Energy,Basic Energy,60,0.06465517241379311,0.13793103448275862,2.1333333333333333,0.017148403796376187,3.809213362068965
1094,Bug Catching Set,むしとりセット,Trainer,Item,59,0.06357758620689655,0.2543103448275862,4.0,0.11723468507333909,0.5509951825557808
93,Dipplin,カミッチュ,Pokémon,Stage 1 Pokémon,55,0.059267241379310345,0.18318965517241378,3.090909090909091,0.05586712683347714,1.0780679024649524
149,Applin,カジッチュ,Pokémon,Basic Pokémon,55,0.059267241379310345,0.15625,2.6363636363636362,0.04141501294219154,1.4532915360501568
1250,Area Zero Underdepths,ゼロの大空洞,Trainer,Stadium,54,0.05818965517241379,0.22629310344827586,3.888888888888889,0.017148403796376187,3.4345366379310343
