archetype_id,archetype_label,current_appearances,previous_appearances,current_usage_share,previous_usage_share,usage_share_delta_pp
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,273,189,0.2941810344827586,0.2041036717062635,9.007736277649512
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,189,258,0.2036637931034483,0.2786177105831533,-7.495391747970503
A03,Fezandipiti ex / Alakazam / Kadabra,133,153,0.14331896551724138,0.1652267818574514,-2.1907816340210022
A04,Mega Lucario ex / Hariyama / Solrock,91,71,0.0980603448275862,0.07667386609071274,2.1386478736873467
A05,Teal Mask Ogerpon ex / Mega Kangaskhan ex / Raging Bolt ex,52,59,0.05603448275862069,0.06371490280777538,-0.7680420049154688
A06,Dragapult ex / Meowth ex / Fezandipiti ex,47,50,0.05064655172413793,0.05399568034557235,-0.33491286214344246
A07,N’s Zoroark ex / N’s Zorua / N’s Reshiram,35,0,0.03771551724137931,0.0,3.771551724137931
A08,Thwackey / Dipplin / Seaking,30,1,0.032327586206896554,0.0010799136069114472,3.1247672599985106
A09,Mega Kangaskhan ex / Latias ex / Meowth ex,26,43,0.028017241379310345,0.04643628509719223,-1.8419043717881882
A10,Hydrapple ex / Teal Mask Ogerpon ex / Meowth ex,25,24,0.02693965517241379,0.02591792656587473,0.10217286065390616
A11,Cornerstone Mask Ogerpon ex / Mega Kangaskhan ex / Crustle,21,38,0.022629310344827586,0.04103671706263499,-1.8407406717807402
A12,Teal Mask Ogerpon ex,4,38,0.004310344827586207,0.04103671706263499,-3.672637223504878
A13,Blaziken ex / Dragapult ex / Lillie’s Clefairy ex,2,0,0.0021551724137931034,0.0,0.21551724137931033
A14,Fezandipiti ex / Thwackey / Dipplin,0,2,0.0,0.0021598272138228943,-0.21598272138228944
