archetype_id,archetype_label,opponent_archetype_id,opponent_archetype_label,matchup_appearances,wins,matchup_win_rate
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,56,28.0,0.5
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,63,37.0,0.5873015873015873
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A03,Fezandipiti ex / Alakazam / Kadabra,39,18.0,0.46153846153846156
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A04,Mega Lucario ex / Hariyama / Solrock,35,10.0,0.2857142857142857
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A05,Teal Mask Ogerpon ex / Mega Kangaskhan ex / Raging Bolt ex,14,7.0,0.5
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A06,Dragapult ex / Meowth ex / Fezandipiti ex,21,10.0,0.47619047619047616
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A07,N’s Zoroark ex / N’s Zorua / N’s Reshiram,13,1.0,0.07692307692307693
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A08,Thwackey / Dipplin / Seaking,11,3.0,0.2727272727272727
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A09,Mega Kangaskhan ex / Latias ex / Meowth ex,4,1.0,0.25
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A10,Hydrapple ex / Teal Mask Ogerpon ex / Meowth ex,6,1.0,0.16666666666666666
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A11,Cornerstone Mask Ogerpon ex / Mega Kangaskhan ex / Crustle,8,4.0,0.5
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A12,Teal Mask Ogerpon ex,2,2.0,1.0
A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,A13,Blaziken ex / Dragapult ex / Lillie’s Clefairy ex,1,0.0,0.0
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,63,26.0,0.4126984126984127
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,46,23.0,0.5
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A03,Fezandipiti ex / Alakazam / Kadabra,18,10.0,0.5555555555555556
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A04,Mega Lucario ex / Hariyama / Solrock,19,9.0,0.47368421052631576
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A05,Teal Mask Ogerpon ex / Mega Kangaskhan ex / Raging Bolt ex,10,3.0,0.3
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A06,Dragapult ex / Meowth ex / Fezandipiti ex,9,5.0,0.5555555555555556
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A07,N’s Zoroark ex / N’s Zorua / N’s Reshiram,6,1.0,0.16666666666666666
A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,A08,Thwackey / Dipplin / Seaking,7,3.0,0.42857142857142855
