archetype_rank,archetype_id,archetype_label,representative_exact_deck_id,card_id,card_name_en,card_name_jp,card_group,card_subtype,count
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,66,Dudunsparce,ノココッチ,Pokémon,Stage 1 Pokémon,3
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,174,Fan Rotom,スピンロトム,Pokémon,Basic Pokémon,1
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,305,Dunsparce,ノコッチ,Pokémon,Basic Pokémon,4
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,848,Buneary,ミミロル,Pokémon,Basic Pokémon,2
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,849,Mega Lopunny ex,メガミミロップex,Pokémon,Stage 1 Pokémon,2
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,860,Snorunt,ユキワラシ,Pokémon,Basic Pokémon,2
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,861,Mega Froslass ex,メガユキメノコex,Pokémon,Stage 1 Pokémon,2
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1086,Buddy-Buddy Poffin,なかよしポフィン,Trainer,Item,4
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1087,Hand Trimmer,ハンドトリマー,Trainer,Item,3
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1121,Ultra Ball,ハイパーボール,Trainer,Item,4
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1122,Pokégear 3.0,ポケギア3.0,Trainer,Item,2
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1152,Poké Pad,ポケパッド,Trainer,Item,4
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1174,Air Balloon,ふうせん,Trainer,Pokémon Tool,3
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1182,Boss’s Orders,ボスの指令,Trainer,Supporter,2
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1225,Hilda,トウコ,Trainer,Supporter,3
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1227,Lillie's Determination,リーリエの決心,Trainer,Supporter,4
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1229,Wally's Compassion,ミツルの思いやり,Trainer,Supporter,4
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,1264,Battle Cage,バトルコロシアム,Trainer,Stadium,3
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,3,Basic {W} Energy,基本【水】エネルギー,Energy,Basic Energy,3
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,11,Mist Energy,ミストエネルギー,Energy,Special Energy,4
1,A01,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,deck_2110947ff883,13,Enriching Energy,リッチエネルギー,Energy,Special Energy,1
2,A02,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,deck_54f9a303b46e,104,Froslass,ユキメノコ,Pokémon,Stage 1 Pokémon,2
