team_name,appearances,win_rate,primary_archetype,primary_archetype_share,archetypes_used,exact_decks_used
Majkel1337,86,0.627906976744186,Mega Lucario ex / Hariyama / Solrock,0.6627906976744186,2,2
LiamK,63,0.5396825396825397,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
Luca,54,0.7962962962962963,N’s Zoroark ex / N’s Zorua / N’s Reshiram,0.6481481481481481,2,2
Petit Canard,53,0.37735849056603776,Dragapult ex / Meowth ex / Fezandipiti ex,0.6981132075471698,3,3
James Cox & Henry Chao,52,0.4423076923076923,Teal Mask Ogerpon ex / Mega Kangaskhan ex / Raging Bolt ex,1.0,1,1
flg,47,0.44680851063829785,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
Raihan Ramadistra,43,0.37209302325581395,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
THIRD PTCG Club,36,0.6388888888888888,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
Sixth Sense,36,0.5833333333333334,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
ANDPAD kaggler team,34,0.35294117647058826,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,0.8823529411764706,2,2
matsurih,33,0.45454545454545453,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
stnick,31,0.3225806451612903,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
AlphaStarmie,25,0.64,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
palsystem,22,0.5909090909090909,Hydrapple ex / Teal Mask Ogerpon ex / Meowth ex,1.0,1,1
Pushu?,22,0.5,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
DavidFreelan,21,0.2857142857142857,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
Boss's Orders Are All You Need,20,0.5,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
Marshall Maximizer,19,0.5263157894736842,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,0.8421052631578947,2,2
masspeaks,19,0.3684210526315789,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
MissingNo.,18,0.5,Mega Lucario ex / Hariyama / Solrock,0.5555555555555556,2,2
sadwat,16,0.4375,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
想要成为kaggle大师,15,0.8,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
M Sato,15,0.3333333333333333,Mega Lucario ex / Hariyama / Solrock,1.0,1,1
loIzpo + emonga,14,0.35714285714285715,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
カントー地方マスター(KantoRegionMaster),12,0.4166666666666667,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
JB Bryant,11,0.45454545454545453,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
MTADA,11,0.45454545454545453,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
213tubo,11,0.36363636363636365,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
Oleksandr_Savsunenko,11,0.2727272727272727,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
vvs,10,0.3,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
kanno,9,0.3333333333333333,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
ShumpeiNomura,7,0.42857142857142855,Mega Kangaskhan ex / Latias ex / Meowth ex,1.0,1,1
MOP Capital,6,0.6666666666666666,Cornerstone Mask Ogerpon ex / Mega Kangaskhan ex / Crustle,1.0,1,1
Budew,5,0.8,Dragapult ex / Meowth ex / Fezandipiti ex,1.0,1,1
Alan_Nasibullin,5,0.6,Cornerstone Mask Ogerpon ex / Mega Kangaskhan ex / Crustle,1.0,1,1
insuperabilehart,5,0.2,Mega Froslass ex / Mega Lopunny ex / Dudunsparce,1.0,1,1
齐乐,4,0.75,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
RtoABC,4,0.5,Dragapult ex / Meowth ex / Fezandipiti ex,1.0,1,1
@kdcyberdude,3,0.6666666666666666,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
yumizu,3,0.6666666666666666,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
LumenLiquidity,2,1.0,Blaziken ex / Dragapult ex / Lillie’s Clefairy ex,1.0,1,1
Dragon Ball Z,2,0.5,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
"Bart, Edwyn",2,0.0,Fezandipiti ex / Alakazam / Kadabra,1.0,1,1
Shardul Gharat,2,0.0,Marnie's Grimmsnarl ex / Marnie's Morgrem / Froslass,1.0,1,1
