first_selection_rank,archetype_id,archetype_label,variant_count,evidence_tiers,sampling_weight
1,GRIMMSNARL_FROSLASS,Grimmsnarl / Froslass,5,A+B+C,0.089338995114086772
2,ALAKAZAM,Alakazam,5,A+B+C,0.067588838692319936
3,MEGA_LOPUNNY_MEGA_FROSLASS,Mega Lopunny / Mega Froslass,5,A+B,0.058276142386223993
4,DRAGAPULT,Dragapult,5,A+C,0.048500810058538839
5,MEGA_LUCARIO,Mega Lucario,5,A+B+C,0.045606317279170458
6,CYNTHIA_S_GARCHOMP,Cynthia's Garchomp,5,A+B+D,0.041797241459049346
7,OGERPON_TOOLBOX,Ogerpon toolbox,5,A+B+C,0.038740484548702755
8,MEGA_LOPUNNY_DUDUNSPARCE,Mega Lopunny / Dudunsparce,5,A+C,0.040408103593234705
9,FESTIVAL_LEAD_DIPPLIN,Festival Lead / Dipplin,5,A+B+D,0.037685239925344262
10,TEAM_ROCKET_S_HONCHKROW,Team Rocket's Honchkrow,1,A,0.024229265034630947
11,KANGASKHAN_SLOWKING,Kangaskhan / Slowking,5,A+C,0.035151166122265765
12,RAGING_BOLT_OGERPON,Raging Bolt / Ogerpon,3,A+B,0.038074202679545859
13,KANGASKHAN_CRUSTLE,Kangaskhan / Crustle,5,A+B+C,0.040131583175851797
15,COMFEY_XERNEAS,Comfey / Xerneas,1,C,0.011129541201069012
16,TAUROS,Tauros,1,C,0.011085753546610590
17,DUDUNSPARCE,Dudunsparce,1,C,0.011054790999210787
18,LILLIE_S_CLEFAIRY_HOP,Lillie's Clefairy / Hop,1,C,0.011054790999210787
19,TEAM_ROCKET_S_PORYGON_Z_HONCHKROW,Team Rocket's Porygon-Z / Honchkrow,1,C,0.011046899410427292
21,HYDRAPPLE_OGERPON,Hydrapple / Ogerpon,5,A+B+C,0.037253009695375851
22,MEGA_LOPUNNY,Mega Lopunny,5,A+C,0.026654700771666234
23,N_S_ZOROARK,N's Zoroark,5,A+B+C,0.028731134093044477
25,MEGA_KANGASKHAN,Mega Kangaskhan,5,A+C,0.028366301796765629
26,IONO_S_BELLIBOLT,Iono's Bellibolt,2,C,0.011628377830606596
27,BRAMBLEGHAST,Brambleghast,3,B+C,0.016532546899472006
28,CRUSTLE,Crustle,3,B+C+D,0.015915130534492641
29,TEAM_ROCKET_S_MEWTWO_SPIDOPS,Team Rocket's Mewtwo / Spidops,5,A+B+C,0.031757607086897857
32,MEGA_STARMIE,Mega Starmie,5,A+B+C,0.027204495769428093
36,TYPHLOSION,Typhlosion,3,B+C,0.018155354267272817
40,GRIMMSNARL,Grimmsnarl,5,A+C,0.022170903111380258
41,ARCHALUDON_CINDERACE,Archaludon / Cinderace,5,B+C,0.018717466718436583
42,CHANDELURE,Chandelure,5,B+C,0.018869835108318224
49,EMPOLEON_GENESECT,Empoleon / Genesect,5,C,0.013007466466901305
52,GREAT_TUSK_CRUSTLE,Great Tusk / Crustle,3,C+D,0.011243886972151894
63,MEGA_SHARPEDO,Mega Sharpedo,5,C,0.012891616652295636
