selection_rank,name,archetype_id,archetype_label,evidence_tier,sampling_weight,source_deck_file,canonical_deck_sha256
1,bc_pool_grimmsnarl_froslass_cafa7652a634,GRIMMSNARL_FROSLASS,Grimmsnarl / Froslass,A,0.078539884707878732,grimmsnarl_froslass/v01_cafa7652a634.csv,cafa7652a6349be806d8ac2b9abfdb6c72ca3821f368e0d912e2d989f3b54cdd
2,bc_pool_alakazam_606a775392ff,ALAKAZAM,Alakazam,A,0.048775312741936222,alakazam/v01_606a775392ff.csv,606a775392ffe25e058b19c17801d58a4bf30f7cd8c62782388d3de7e7eb5283
3,bc_pool_mega_lopunny_mega_froslass_ba51a134262b,MEGA_LOPUNNY_MEGA_FROSLASS,Mega Lopunny / Mega Froslass,A,0.047804554031710217,mega_lopunny_mega_froslass/v01_ba51a134262b.csv,ba51a134262bb1c2fbb14fd1357602734dd1abb5b6b08aa68e6a168efcd455eb
4,bc_pool_dragapult_89e6155f2531,DRAGAPULT,Dragapult,A,0.037816467646893726,dragapult/v01_89e6155f2531.csv,89e6155f25310ee695c0761c85d3ae8e44f376456ff0539231820f8e803f2d5e
5,bc_pool_mega_lucario_dc8571d0bc2e,MEGA_LUCARIO,Mega Lucario,A,0.033059106866406590,mega_lucario/v01_dc8571d0bc2e.csv,dc8571d0bc2e546a1f85b938696cfc40a1451c68a4ccc1f695e7c3e1c74f1278
6,bc_pool_cynthia_s_garchomp_eff68cb08be1,CYNTHIA_S_GARCHOMP,Cynthia's Garchomp,A,0.029089522623486533,cynthia_s_garchomp/v01_eff68cb08be1.csv,eff68cb08be178b9c7f06c409b61e88ae9200ab6dc26e05f4bf29eed86040455
7,bc_pool_ogerpon_toolbox_c2f97a7cf840,OGERPON_TOOLBOX,Ogerpon toolbox,A,0.028406008076039168,ogerpon_toolbox/v01_c2f97a7cf840.csv,c2f97a7cf840ea0dfa8e926e1d30c2105be0550e0b9181c86c90c66b746f4c54
8,bc_pool_mega_lopunny_dudunsparce_0246cdc0d974,MEGA_LOPUNNY_DUDUNSPARCE,Mega Lopunny / Dudunsparce,A,0.022976532675005122,mega_lopunny_dudunsparce/v01_0246cdc0d974.csv,0246cdc0d97432d77e97ecac8ce4f272d858e9b3c86795aa37eef4286d965820
9,bc_pool_festival_lead_dipplin_f4af3f88f120,FESTIVAL_LEAD_DIPPLIN,Festival Lead / Dipplin,A,0.021518470713284891,festival_lead_dipplin/v01_f4af3f88f120.csv,f4af3f88f120f86d14f7da1b2e99e3530cf769be695b886b74d4925e7c8fb893
10,bc_pool_team_rocket_s_honchkrow_94ea1cc79b25,TEAM_ROCKET_S_HONCHKROW,Team Rocket's Honchkrow,A,0.024229265034630947,team_rocket_s_honchkrow/v01_94ea1cc79b25.csv,94ea1cc79b250201cae70bd74cf4483fb9605b0022b3ec1d85a881f9c9e7e74c
11,bc_pool_kangaskhan_slowking_d3f092b737c0,KANGASKHAN_SLOWKING,Kangaskhan / Slowking,A,0.020873517546664173,kangaskhan_slowking/v01_d3f092b737c0.csv,d3f092b737c0990149541576444e767d34a7367576d15a8f1b39f7b15460645d
12,bc_pool_raging_bolt_ogerpon_10857495cddc,RAGING_BOLT_OGERPON,Raging Bolt / Ogerpon,A,0.019330667341548299,raging_bolt_ogerpon/v01_10857495cddc.csv,10857495cddc95416052ff3b60e8686d2291da31de23ef064128534eb87cff28
13,bc_pool_kangaskhan_crustle_89057065bdc7,KANGASKHAN_CRUSTLE,Kangaskhan / Crustle,A,0.018209926522331193,kangaskhan_crustle/v01_89057065bdc7.csv,89057065bdc7a1c8b9066665401cf1e0446a57156f6a3e2e3754ae4533bd5308
14,bc_pool_raging_bolt_ogerpon_3158359368bd,RAGING_BOLT_OGERPON,Raging Bolt / Ogerpon,A,0.016629173138977445,raging_bolt_ogerpon/v02_3158359368bd.csv,3158359368bd1252e835a4ce634b7435d28bce85706b9fd76f4f2ea5fa4abc9c
15,bc_pool_comfey_xerneas_85616d38be71,COMFEY_XERNEAS,Comfey / Xerneas,C,0.011129541201069012,comfey_xerneas/v01_85616d38be71.csv,85616d38be71ff4f9e79b7a44fe3133145eea853a1db35a23d2663d29ca6b7fa
16,bc_pool_tauros_823245b6a096,TAUROS,Tauros,C,0.011085753546610590,tauros/v01_823245b6a096.csv,823245b6a0969b7c6f1326b5fd33eba8ebc65644f2b58c983043422f8a300ef9
17,bc_pool_dudunsparce_6488f4e9e725,DUDUNSPARCE,Dudunsparce,C,0.011054790999210787,dudunsparce/v01_6488f4e9e725.csv,6488f4e9e7254d086f4cc3a7ca28efabbf57f7d57c4aece7ac4786a867e6311b
18,bc_pool_lillie_s_clefairy_hop_66b99fcc427f,LILLIE_S_CLEFAIRY_HOP,Lillie's Clefairy / Hop,C,0.011054790999210787,lillie_s_clefairy_hop/v01_66b99fcc427f.csv,66b99fcc427f8b0642032862c08de0b385d4777e042fd327910593d3e665f645
19,bc_pool_team_rocket_s_porygon_z_honchkrow_8b961947af8e,TEAM_ROCKET_S_PORYGON_Z_HONCHKROW,Team Rocket's Porygon-Z / Honchkrow,C,0.011046899410427292,team_rocket_s_porygon_z_honchkrow/v01_8b961947af8e.csv,8b961947af8e8cdaf0558dbfc2e5d8f9af31bb05e1216abdc0fc5a647390026d
20,bc_pool_kangaskhan_crustle_d0103c2dc33d,KANGASKHAN_CRUSTLE,Kangaskhan / Crustle,A,0.015754338480171028,kangaskhan_crustle/v02_d0103c2dc33d.csv,d0103c2dc33d8ab728178520e168ba0d0e3cfdb51bbd1a3658970a195ee424f2
