id,title,votes,comment_count_listed,messages_downloaded,new_or_changed_messages,changed_since_previous,post_date,last_comment_post_date,is_sticky,url
732331,Second Round Information,23,18,19,0,False,2026-08-02T11:00:01.289922600Z,2026-08-04T13:25:59.596666700Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/732331
728935,Public Notebook Sharing Deadline: August 2,19,11,12,0,False,2026-07-24T19:04:27.671769500Z,2026-08-03T04:27:36.726666700Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/728935
717141,Game Engine Source Code,124,11,12,0,False,2026-07-01T15:07:46.610566800Z,2026-08-01T22:46:30.746666700Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/717141
713051,Official Visualiser/Replay Viewer,25,2,3,0,False,2026-06-23T20:33:45.573745800Z,2026-08-05T08:07:01.620Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/713051
708584,Welcome to the Pokémon TCG AI Battle Challenge Simulation Category Competition!,30,4,5,0,False,2026-06-16T10:13:56.730881200Z,2026-08-06T00:07:25.296666700Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/708584
708586,Differences Between the Official Pokémon TCG Rules and the Simulator Behavior ,36,27,28,0,False,2026-06-16T10:17:04.884132300Z,2026-07-31T11:34:31.063333300Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/708586
714189,Reminder about the Kaggle Simulation Competition Format,16,8,9,0,False,2026-06-25T19:31:22.263130700Z,2026-06-29T14:16:36.180Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/714189
709160,Daily Top Episodes Datasets,75,5,6,0,False,2026-06-17T19:00:15.948716500Z,2026-06-27T17:49:53.150Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/709160
708493,Important Information About this Challenge,16,1,2,0,False,2026-06-15T20:27:53.488492600Z,2026-06-20T11:35:09.523333300Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/708493
708492,How to Get Started + Competition's Official Discord,16,4,5,0,False,2026-06-15T20:27:17.391215100Z,2026-06-18T01:31:36.600Z,True,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/708492
732105,"Alternative PTCG Rankings, inspired by Alternative Orbit Wars Rankings",23,5,6,0,False,2026-08-01T21:13:37.024482400Z,2026-08-05T10:46:09.843333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/732105
731298,my plan on how to do RL training ... is it my hallucinations?,11,14,15,0,False,2026-07-31T04:12:45.510846700Z,2026-08-07T09:09:50.546666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/731298
733267,Shaymin vs Battle Cage,2,3,4,0,False,2026-08-06T09:41:26.793451500Z,2026-08-06T23:16:24.783333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/733267
733137,Timing of solution sharing after the deadline,6,0,1,0,False,2026-08-06T00:35:19.394641100Z,2026-08-06T00:35:19.393333300Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/733137
732905,How consistent is imitation learning in this setting?,4,9,10,0,False,2026-08-05T02:22:26.000418100Z,2026-08-06T03:41:28.296666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/732905
733265,[Bug] Simulator switch the deck between players,3,0,1,0,False,2026-08-06T09:38:49.110732Z,2026-08-06T09:38:49.110Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/733265
733083,ELO inconsistency,1,8,9,0,False,2026-08-05T19:17:17.082213500Z,2026-08-06T21:24:33.590Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/733083
733477,Game engine bug,1,0,1,0,False,2026-08-07T03:02:49.036075800Z,2026-08-07T03:02:49.036666700Z,False,https://www.kaggle.com/competitions/pokemon-tcg-ai-battle/discussion/733477
