learner,opponent,seed,learner_seat,result,winner_seat,decisions,latency_ms,memory_mb,failure,engine_seed_controlled,diagnostics_json
learner_08,lucario_sample,28320719,0,win,0,126,1065.091,,,False,"[{},{}]"
learner_09,official_random,29260719,1,win,1,73,757.818,,,False,"[{},{}]"
learner_07,library_out_1208,27290719,1,win,1,167,639.688,,,False,"[{},{}]"
learner_06,archaludon,26280719,1,loss,0,136,605.411,,,False,"[{},{}]"
learner_09,roman_recent_885,29380719,0,loss,1,176,4476.172,,,False,"[{},{}]"
learner_03,probabilistic,23340719,0,win,0,140,476.315,,,False,"[{},{}]"
learner_02,simple_matchup,22370719,1,win,1,163,537.952,,,False,"[{},{}]"
learner_07,grim_hybrid_909,27360719,0,loss,1,161,1198.698,,,False,"[{},{}]"
learner_01,iono,21310719,0,loss,1,224,537.527,,,False,"[{},{}]"
learner_02,alakazam_5th,22270719,0,win,0,131,527.97,,,False,"[{},{}]"
learner_02,beam_search_940,22350719,1,loss,0,142,558.221,,,False,"[{},{}]"
learner_09,probabilistic,29340719,0,win,0,138,1025.713,,,False,"[{},{}]"
learner_08,beam_search_940,28350719,0,loss,1,136,1092.181,,,False,"[{},{}]"
learner_00,archaludon,20280719,0,win,0,118,457.322,,,False,"[{},{}]"
learner_04,library_out_1208,24290719,0,win,0,195,452.814,,,False,"[{},{}]"
learner_09,grim_hybrid_909,29360719,1,win,1,138,960.958,,,False,"[{},{}]"
learner_09,iono,29310719,1,win,1,248,473.565,,,False,"[{},{}]"
learner_06,probabilistic,26340719,1,win,1,141,424.952,,,False,"[{},{}]"
learner_04,lucario_1084,24330719,1,win,1,230,718.253,,,False,"[{},{}]"
learner_08,grim_hybrid_909,28360719,1,win,1,231,1274.444,,,False,"[{},{}]"
learner_04,grim_hybrid_909,24360719,0,loss,1,209,971.052,,,False,"[{},{}]"
learner_08,library_out_1208,28290719,1,win,1,240,1435.209,,,False,"[{},{}]"
learner_05,archaludon,25280719,1,loss,0,125,438.163,,,False,"[{},{}]"
learner_02,roman_recent_885,22380719,1,win,1,121,3945.59,,,False,"[{},{}]"
learner_00,library_out_1208,20290719,0,win,0,171,402.384,,,False,"[{},{}]"
learner_06,roman_recent_885,26380719,0,loss,1,117,2140.546,,,False,"[{},{}]"
learner_03,roman_recent_885,23380719,0,loss,1,159,2203.113,,,False,"[{},{}]"
