learner,opponent,seed,learner_seat,result,winner_seat,decisions,latency_ms,memory_mb,failure,engine_seed_controlled,diagnostics_json
learner_00,roman_recent_885,20380719,1,loss,0,156,2463.905,,,False,"[{},{}]"
learner_01,probabilistic,21340719,0,win,0,131,368.452,,,False,"[{},{}]"
learner_01,archaludon,21280719,0,loss,1,49,259.113,,,False,"[{},{}]"
learner_03,probabilistic,23340719,1,loss,0,130,423.858,,,False,"[{},{}]"
learner_04,dragapult,24300719,1,loss,0,271,456.04,,,False,"[{},{}]"
learner_04,lucario_1084,24330719,0,loss,1,266,378.127,,,False,"[{},{}]"
learner_09,beam_search_940,29350719,0,loss,1,78,381.227,,,False,"[{},{}]"
learner_09,library_out_1208,29290719,0,loss,1,131,321.383,,,False,"[{},{}]"
learner_01,lucario_1084,21330719,0,win,0,121,352.344,,,False,"[{},{}]"
learner_03,beam_search_940,23350719,0,loss,1,113,466.732,,,False,"[{},{}]"
learner_08,archaludon,28280719,1,loss,0,195,839.191,,,False,"[{},{}]"
learner_07,probabilistic,27340719,1,loss,0,23,267.266,,,False,"[{},{}]"
learner_07,lucario_sample,27320719,1,win,1,159,459.959,,,False,"[{},{}]"
learner_00,roman_recent_885,20380719,0,loss,1,123,2570.37,,,False,"[{},{}]"
learner_05,beam_search_940,25350719,0,win,0,125,331.858,,,False,"[{},{}]"
learner_02,roman_recent_885,22380719,0,loss,1,121,2901.452,,,False,"[{},{}]"
learner_03,beam_search_940,23350719,1,loss,0,130,351.96,,,False,"[{},{}]"
learner_00,probabilistic,20340719,1,win,1,98,303.16,,,False,"[{},{}]"
learner_00,beam_search_940,20350719,0,loss,1,146,492.586,,,False,"[{},{}]"
learner_01,simple_matchup,21370719,0,win,0,92,334.004,,,False,"[{},{}]"
learner_05,lucario_sample,25320719,0,win,0,152,331.653,,,False,"[{},{}]"
learner_04,library_out_1208,24290719,1,win,1,171,349.432,,,False,"[{},{}]"
learner_05,archaludon,25280719,0,loss,1,43,278.693,,,False,"[{},{}]"
learner_01,official_random,21260719,0,win,0,42,236.001,,,False,"[{},{}]"
learner_07,iono,27310719,1,win,1,199,400.022,,,False,"[{},{}]"
learner_01,library_out_1208,21290719,0,loss,1,98,347.802,,,False,"[{},{}]"
learner_08,alakazam_5th,28270719,1,win,1,144,603.212,,,False,"[{},{}]"
learner_03,simple_matchup,23370719,1,win,1,164,310.99,,,False,"[{},{}]"
learner_05,roman_recent_885,25380719,1,loss,0,126,4534.392,,,False,"[{},{}]"
learner_08,dragapult,28300719,1,loss,0,214,933.411,,,False,"[{},{}]"
learner_08,beam_search_940,28350719,1,loss,0,28,544.745,,,False,"[{},{}]"
learner_05,dragapult,25300719,0,win,0,95,296.794,,,False,"[{},{}]"
learner_09,lucario_sample,29320719,0,win,0,151,487.758,,,False,"[{},{}]"
learner_07,official_random,27260719,0,win,0,85,276.856,,,False,"[{},{}]"
learner_09,grim_hybrid_909,29360719,0,loss,1,165,670.037,,,False,"[{},{}]"
learner_00,simple_matchup,20370719,1,win,1,168,363.191,,,False,"[{},{}]"
learner_03,grim_hybrid_909,23360719,1,win,1,205,731.646,,,False,"[{},{}]"
learner_09,alakazam_5th,29270719,1,loss,0,163,412.694,,,False,"[{},{}]"
learner_07,roman_recent_885,27380719,0,loss,1,150,4655.524,,,False,"[{},{}]"
learner_04,probabilistic,24340719,1,loss,0,89,338.0,,,False,"[{},{}]"
learner_03,alakazam_5th,23270719,1,win,1,42,313.974,,,False,"[{},{}]"
learner_06,alakazam_5th,26270719,1,win,1,145,621.16,,,False,"[{},{}]"
learner_09,dragapult,29300719,1,win,1,157,387.571,,,False,"[{},{}]"
learner_03,alakazam_5th,23270719,0,win,0,185,356.837,,,False,"[{},{}]"
learner_08,simple_matchup,28370719,1,loss,0,191,810.609,,,False,"[{},{}]"
learner_00,archaludon,20280719,1,win,1,104,329.725,,,False,"[{},{}]"
learner_03,grim_hybrid_909,23360719,0,win,0,194,695.748,,,False,"[{},{}]"
learner_04,iono,24310719,0,win,0,356,405.757,,,False,"[{},{}]"
learner_04,iono,24310719,1,win,1,378,407.203,,,False,"[{},{}]"
