rank,learner,games,wins,losses,draws,failures,win_rate,score_rate,win_wilson_lower,failure_rate,worst_opponent,worst_score_rate
1,learner_02,26,17,9,0,0,0.6538461538461539,0.6538461538461539,0.4622057118881082,0.0,official_random,0.0
2,learner_03,26,16,10,0,0,0.6153846153846154,0.6153846153846154,0.4253485008511553,0.0,archaludon,0.0
3,learner_06,26,16,10,0,0,0.6153846153846154,0.6153846153846154,0.4253485008511553,0.0,roman_recent_885,0.0
4,learner_08,26,16,10,0,0,0.6153846153846154,0.6153846153846154,0.4253485008511553,0.0,archaludon,0.0
5,learner_01,26,15,11,0,0,0.5769230769230769,0.5769230769230769,0.3894861374659171,0.0,dragapult,0.0
6,learner_04,26,15,11,0,0,0.5769230769230769,0.5769230769230769,0.3894861374659171,0.0,dragapult,0.0
7,learner_00,26,13,13,0,0,0.5,0.5,0.32060593525759046,0.0,alakazam_5th,0.0
8,learner_05,26,13,13,0,0,0.5,0.5,0.32060593525759046,0.0,archaludon,0.0
9,learner_09,26,12,13,1,0,0.46153846153846156,0.4807692307692308,0.28755853530391223,0.0,alakazam_5th,0.0
10,learner_07,26,11,14,1,0,0.4230769230769231,0.4423076923076923,0.25544443313656556,0.0,archaludon,0.0
